BaseDeFallasCodigo;ModelosCodigo;BaseDeFallasFalla;BaseDeFallasSolucion;BaseDeFallasSintomas;BaseDeFallasPropia
1336;10228;La camara se cayo encendida con el zoom hacia afuera. Despues de eso se apago y quedo el lente hacia afuera trabado en la mitad de su recorrido;Se desarmo toda la camara, y dentreo del zoom tenia una de las tres patas de las correderas dento del tamor del zoom corrida fuera de lugar. Se volvio al lugar se limpiaron los engranajes y se armo nuevamente;La camara no enciende por un corte dde seguridad al estar el zoom trabado;0
1337;10229;NO ENCIENDE-HIPO EN LA FUENTE;CAUSA,TRANSISTOR HORIZONTAL CRUZADO,TDA2615 AUDIO,MAL-TDA8843 MAL,SE REMPLASARON TODOS-al cambiar el transistor del horizontal encendio con pantalla negra,tenia una resistencia cerca del ic de audio quemada,se cambio ic y resistencia,encendio pantalla roja tda8843 mal ok;;0
1338;10230;se veia la pantalla en blanco y no era flex ni nada;reparar sotfware;pantalla en blanco;0
1339;10231;NO SE VE LA PANTALLA, SE VE NEGRA;CAMBIAR EL FLEX;FALLA DE FLEX;0
1340;10232;PANTALLA EN BLANCO;CAMBIO DE LFEX;CAMBIAR FLEX;0
1341;10233;LA PANTALLA;CAMBIAR EL FLEX;SE VE EN NEGRO LA PANTALLA Y PRENDE EL TECLADO;0
1342;10233;LA PANTALLA;CAMBIAR EL FLEX;SE VE LA PANTALLA EN NEGRO;0
1343;10234;cae el automatico de la red al encender;aumentar el valor de la resistencia de entrada de .68 ohm a una de 5.6 ohm 5 watt , esta falla se produce por un consumo de energia inicial alto;fuente en buen estado descartada , pero al momento de encender en ocasiones hacia caer el automatico de la red domiciliaria;0
1344;10235;no enciende;la botonadura esta bloqueada, con el control remoto si se puede encender, despues en el menu desbloquea la funcion y listo;No enciende, no hay arranque de fuente, todos los voltajes correctos;0
1345;10236;Sin brillo de pantalla,sonido normal,los destellos del led frontal son infinitos desde que se enciende el tv;Voltajes del Q550,anormales,R580 Abierta o infinita en su valor;Los voltajes de screen,200voltios,filamento y catodo rojo estaban normales.                                                                  Catodos verde y azul en 5.6 voltios,el IC de salida hacia catodos bueno,con voltajes de entrada anormales en el verde y azul;0
1346;9764;el display despliega f 61;zener 27voltios y tr c1740 en corto,resistencia de 1.2ohmios abierta;no suena;0
1347;10237;Cuando se enciende el computador se queda sin responder, no responde pantalla, teclado ni mouse. EstÃ¡ como si algo le estuviese haciendo tierra.;Se ha revisado y haciendo prueba de la memoria, y procesador se ha comprobado que funcionan, por lo cual se hizo prueba del motherboard fuera del Case y entonces funcionÃ³, por lo cual algo esta causando tierra, se le ha colocado una esponja para aislar la placa del case y ha funcionado perfectamente;;0
1348;10237;Cuando se enciende el computador no responde nada.;Se ha revisado y haciendo prueba de la memoria, y procesador se ha comprobado que funcionan, por lo cual se hizo prueba del motherboard fuera del Case y entonces funcionó, por lo cual algo esta causando tierra, se le ha colocado una esponja para aislar la placa del case y ha funcionado perfectamente.;La computadora se queda sin responder, no responde pantalla, teclado ni mouse. Está como si algo le estuviese haciendo tierra.;0
1349;10238;BSAS  REPARACION;CAMBIO DE BSAS  OK;;0
1350;10238;sasasasaasasas;asasas;;0
1351;10238;DESPROGRAMADO;BORRADO Y PROGRAMACION;;0
1352;10239;;;;0
1353;10240;NO SENTRIFUGA;CAMBIO DE BOMBA DE DESAGUE;;0
1354;10241;TV No enciende;se encontrÃ³ el transistor de salida horizontal d1887 cruzado, se cambiÃ³ i listo ^^;Al desarmar se escucho en la fuente el famoso tic tic tic.... el que indica que se encuentra en corte y se estÃ¡ protegiendo la fuente;0
1355;10242;se mira de la mitad hacia abajo;revisar soldaduras frias en el ciruito del vertical (tda4866)y capacitores,pines del ic,resistencias,controla los electroliticos cercanos al ic,de ultima deberias cambiar este ultimo;se ve de la mitad hacia abajo;0
1356;10243;-Sin sonido, ademas no se ve el televisor.;Se cambiaron D071(Zener 15V 1w),Q071(D400) para solucionar el audio,se cambia Q161(D400) para que se viera tv.;-Se escucha un zumbido y se funde fusible de DC 3Amp 125V,se reemplaza y vuelve ha hacer la misma falla.;0
1357;10244;NO  ENCIENDE;SE PROCEDIO A CAMBIAR MOSFETDAÑADO EN CORTO Y SE PROBO FUNCIONO CORRECTAMENTE.;SE DETECTO FUENTE DAÑADA ;0
1358;10081;Solo enciende los led y no da video ni carga;;Enciende pero no da video ni pita al encender como si hubiera muerto el mainboard;0
1359;10245;No funciona;Se reemplazaron diodos D1122 y D1123 (1N4003) por 1N4007 del secundario de la fuente y el equipo salio andando;Se apago y cuando lo enciendo aparece welcome to dvd world y no hace nada mas;0
1360;10246;CO3FF;;;0
1361;10247;"CO3FF""Fault moden setting""  ""Model setting of Adjust available from the service mode es incorrectly set""   O SEA, QUE SE HAN CAMBIADO LOS PARAMETROS PRINCIPALES DE LA MAQUINA";Mantener pulsada la tecla utilidades, luego Stop  0  0 Stop  0  1. Opcion 2-ADJUST luego MODDEL SETTING (ACA CONFIGURAMOS LA MAQUINA PARA LAS PAGUINAS POR MINUTO), SUPPLIES LIFE COUNT y  listo;SALE EL ERROR EN PANTALLA Y NO RESPONDE PARA NADA.;0
1362;10248;MANTENIMIENTO, 479 HORAS DE USO LA LAMPARA;REALIZADO EN ED ANDINO MEDELLIN;;0
1363;10249;MANTENIMIENTO,LAMPARA 1043 HORAS DE USO;;;0
1364;10249;MANTENIMIENTO,1439 HORAS DE LAMPARA;REALIZADO EN ED. ANDINO;;0
1365;10250;DAÃO DE FUENTE 3.3V;REALIZADO EN SONYVISION;;0
1366;10251;congelador normal /enfriador tibio;se tiene que cambiar tarjeta madre pero ojo no el modeo que biene como remplaso en ge o cualquier otr pagina (wr 55x10556) ese es el codigo de a nueva tarjeta el proble persiste este modelo no interactua normalmente solucion  hay que remplasar por la mismaque tine;"defroster no funciona al cambiar tarjeta madr el problema delo defroster se soluciona pero presenta otro problema. 
 el damper abre normal pero depues de 5 minutos se cierra y no vuelve abrir";0
1367;10252;PIDE CONTRASEÃA DE ENTRADA;"CONTRASEÃA DE BIOS POR DEFECTO ""onru""";;0
1368;10253;FIUSAYHDO;JSDLKAJDLSAK;;0
1369;10254;Enciende Pero Cuando Ba a encender el monitor se apaga;Cambiar el Flyback por el HR 46176 o del Fabricante FBT 6174Z-1003G 20050518BQ;Se apaga;0
1370;2630;Al conectarle la antena, se distorciona la imagen, se cierra en vertical y se apaga, en serie, esta se queda encendida;retoque de soldaduras y cambio de filtros de vertical;inicialmente, soldaduras flojas, se retoco, trabajo bien 2 dias, luego se reparo pista abierta, trabajo bien 5 dias, despues, al conectarle la antena ce cerro en circulo y se daño el regulador y el horizontal,ahora enciende en serie pero al rato se apaga, no lo pongo en linea por temos a nuevo daño...;0
1371;10255;El tv funciona pero cuando quieren cambiar de canal o volumen ase otras funciones y el control remoto no lo asecta y el control esta bien;le cambie todos los ws el tv funciono normal tanto como el control remoto como los ws;cambia de funciones cuando se le quiere quitar el volumen o cambiar de canal;0
1372;10256;Este equipo vino con el defecto al conectarlo a la corriente enciende pero se  desconecta y pone F61;Sele cambio el kits ak series f61 que vende panasonic se cambiaron los componentes que trae el kits el equipo funciono pero solo con audifonos se reviso el amplificador y se le encontro la R5139 10 OH de superficie abierta se le cambio el equipo funciono normal;F61;0
1373;10257;Al conectarlo a la corriente de inmediato pone f61;se le repaso el chassis del amplificador se cambio un ic rsn35h2 el ic mide en corto entre los pines 3 y 4  mide puro alambre se cambio el equipo funciono normal;F61;0
1374;10258;se apaga de inmediato;se le encontro agotada la pantalla se reativo el tv funcino normal;se apaga;0
1375;10259;este tv vino funcionando pero no tiene audio ni vidio y sale oscura y al darle un poco de screen sale con liÃ±ias de retorno;se le cambio el selector el tv funciono normal;funciona con pantalla oscura;0
1376;10260;este tv funciona bien el video pero no tiene audio;se le cambio el ic 661 MSP3425G este ic pone en corto en diodo zd601 5.1v el ic en el pin 46 le entren los 5.1v pero lo tira a tierra a raiz de eso es que pone en corto el diodo se le cambio el ic y el diodo el tv funciono normal;no hay audio;0
1377;10260;este tv funciona bien pero no tiene audio;se le cambio el ic501 LG8023-55C el tv funciono normal ojo hay que poner el original el generico no funciona bien da bien el video pero blockea el audio;no tiene audio;0
1378;10261;este tv solo esciende el led rojo pero no ocila o sea que no funciona;se le cambio el ic 501 LG8023-55C el tv funciono normal;solo esciende el led rojo;0
1379;10262;este tv se enciende y se apaga continuamente;se le puso un puente de las r 610 47oh w1 y 613 12 oh w1/2 al pin 60 del ic 501 LG8023-55c el tv funciono normal;se esciende y se apaga;0
1380;10263;este tv solo da el led rojo pero no osila;se le cambio el criztal x1 el tv funciono normal;solo esciende el led rojo;0
1381;9886;este tv solo esciende el led verde y al darle power se apaga el led pero no osila;se le iso un corto en el criztal con un desarmador plano el tv funciono por lo que se cambio el x901 12000 criztal el tv funciono normal;enciende el led verde y con el power se apaga;0
1382;10264;este tv vino muerto;se le reviso la fuente y se le encontro el diodo 851 nte 570 en corto lo cambie de inmediato se se puse en corto le cambie el ic 1803 el tv funciono normal;muerto;0
1383;10265;este tv no funciona nada esta muerto;se le reviso la fuente y se le encontro el ic Q801 str-z2751 en corto se le cambio el tv funciono normal;no funciona esta muerto;0
1384;10266;al darle power se enciende pero al minuto se apaga;se le reviso la etapa del aplificador de salida encontrando la R716 de 100 ohmios que no mide nada se le cambio el equipo funciono normal;se apaga;0
1385;10267;este tv funciona pero tiene salto en la inmagen como si tubiera salto en el flay back;se reviso los fitros;salto en la inmagen;0
1386;10268;muerto este tv no funciona pero la fuente tiene sus voltajes o se que enciende el led verde lo que indica que la fuente esta osilando pero no activa el stambay;se reviso y se incontro la r 305 1k abierta y el tr U501 A1015 en nte290A en corto los cambie y le di al power el tv osilo pero ubo un salto en el flay back y se volvieron a quemar la r y tr por lo que cambie el flay back la r y el tr el tv funcino normal lo que causa la falla es el flay back;muerto;0
1387;10269;cuando se le da power enciende  y de inmediato se apaga;se le reviso la pantalla y estava agotada se reactivo y el tv funciono normal;se apaga;0
1388;10255;cuando se conecta a la coriente  funciona pero no tiene filamento por lo tanto se apaga y queda el led rojo encendido si se le pone un led serca del flay back enciende el led o sea que si hay osilacion;se le encontro una rotura en el pin 6 del flay back que ase la tierra la cual no tiene se le coriguio la rotura ya ubo filamento y el tv funciono normal;se apaga queda el led rojo encendido;0
1389;10270;vertical serrado se le cambio el ic 401 LA78041 el ic201 TB1253N filtros pero continua serrado;se le camvio el tr510 2SD734 el tv funciono normal o sea que abrio el vertical;vertical serrado;0
1390;10270;no hay estambay o sea que esta muerto pero si hay voltajes en la fuente tiene los 5v en el sw del power y al darle al power sale el inpulso del ic101 OEC7074A del pin 39 pero no funciona;se le cambio el tr508 KTA1273Y el tv funciono normal;muerto;0
1391;10270;muerto se le reviso la fuente y no tiene nada de voltajes;se le cambio la R527 0.68 ohmios el tv funciono normal;muerto;0
1392;10271;Capilares de inyectores tapados;Poner la parte de los capilares en remojo en alchohol isopropilico solo los capilares.;Fallas en la calidad de impresion;0
1393;10272;Sin color ni display;Su solucion es sencilla ,cambiar directamente el integrado jungla y adios problema.;"no tiene color en ningun tipo de entrada (señal antena o video) o puede aparecer pero se ve muy feo.
El display no figura en ningun momento pero responde las funciones del control remoto.";0
1394;10273;L400, abierta (choque RF de 4,7 uH);Reposición de choque L400;No arranca.- Led indica error 1;0
1395;4390;LINEA BLANCA EN EL CENTRO DE LA PANTALLA,SIN DEFLECCION VERTICAL.;SE REEMPLAZO Y FUNCIONANDO..;CAUSA IC DEL VERTICAL TDA3651 MAL;0
1396;698;el tv no arranca.-;a la salida de los 15 volts,diodo dual schottky va a parar a un regulador de 12 volts ic 605 .la R limitadora de 1.5 ohms 2 w R 693 esta desvalorizada en 290 ohms.-;se conecta a la red de 220v y se siente que los relay estan continuamente suichando click-click-click.se separo la fuente del horiz.y llegan los 135 volts pero cortando continuamente.-;0
1397;408;enciende y se apaga.-;se encontro la resistencia de 2,2 ohms en el zocalo del tubo alimentacion de filamento desvalorizada en 38 ohms.se repuso la resistencia y quedo pantalla azul se levanto el zocalo del tubo y seguia azul. el zocalo estaba en corto a masa.- se cambio zocalo y todo ok.-;el tv enciende pero en 5 segundos se apaga.el rato que esta encendido el trc  no enciende el filamento.-;0
1398;10025;la memoria comparte la misma letra de unidad con otro dispositivo;nos vamos a el menú inicio,ejecutar y escribimos la siguiente instrucción diskmgmt.msc, aparece un menú de administración de disco, el cuál nos muestra todas las unidades de disco que tenemos asignadas,nos ubicamos en la unidad que le corresponde a la memoria usb, le damos click derecho le cambiamos la letra y le damos aceptar y el problema está resuelto.;al insertar la memoria el computador la lee, pero no la muestra.;0
1399;10274;MOTOR CON RUIDO CUANDO PARA;Heladera con pequeÃ±o evaporador se coloca un motor de 1/5 rendimiento superior y menor descomprecion al parar, gas A406 70gr, presion de baja 4psi, -25Âº se regulan las puertas por condensacion.;;0
1400;10275;Alta precion de baja y no enfria;Se procede a desumedificacion y barrido con 11 y nitrogeno cambio de filtro y capilar. motor con bajo rendimiento de comprecion;;0
1401;10276;chispeo en programador terminales chamuscados;cambio de programador (sustituto EC 4606);cuando va a lavar o centrifugar chispea;0
1402;10277;No detecta cartuchos;"En teoría era resetear el contador pero me tiro un problema mas no me detecta cartuchos.";Resetie el contador con el programa del gatito y ahora no me detecta cartuchos. Prende la luz de power (normal) la de hoja a4(normal) la luz de tinta (anormal);0
1403;3701;La PC no la reconoce;"instale un software HDD Low Level Format Tool y se encuentra en http://hddguru.com/download/software/HDDGURU-Low-Level-Format-Tool/LLFsetup.2.36.1181.exe
seleccione el dispositivo y le aplique el formato a bajo nivel,
saludos justo";cuando la conectas a la PC no la reconoce, es decir, la tratas de abrir y te dice que insertes un dispositivo en la unidad;0
1404;10278;EL CONTACTO DE LA PILA ESTA ROTTO;TENIA UN CORTO SOBRE EL SISTEMA CARGA EL CUAL DAÃO EL CONTACTO QUE LE FALTA SE REPMLAZO EL CONTACTO Y SE DIO REFLUJO;;0
1405;9817;Prueba;Prueba;Prueba;0
1406;10279;NO LEE LOS DISCOS;SE LE CAMBIO EL LECTOR OPTICO KSS-213F;;0
1407;10280;No Prende;ADAPTACION DE ELEMENTO PLASTICO DEL SWICH DE ENCENDIDO;;0
1408;10281;el micro no funciona;;le cambie y rebise los contactos del microfono y nada pero lo raro es que cuando hablo por el audifono si me escuchan, que sera?;0
1409;10282;se bloqueo;;este celular se bloqueo, cada que meto un chip gsm de bolivia aparace NO RED , lo reconoce y todo, pero nada mas.;0
